ItC	Msort	Qsort
409	0.008	0.008
410	0.008	0
411	0.008	0.008
412	0.008	0.008
413	0.008	0
414	0.008	0.008
415	0.008	0
416	0.008	0.008
417	0.008	0
418	0.008	0.008
419	0.008	0.008
420	0.008	0
421	0.008	0.008
422	0.008	0.008
423	0.008	0.008
424	0.008	0.008
425	0.008	0.008
426	0.008	0
427	0.008	0.008
428	0.009	0
429	0.016	0
430	0.016	0
431	0.008	0.008
432	0.008	0
433	0.008	0
434	0.008	0.008
435	0.008	0.008
436	0.008	0
437	0.008	0
438	0.008	0.008
439	0.008	0.008
440	0.008	0
441	0.008	0.008
442	0.008	0.009
443	0.008	0.008
444	0.008	0
445	0.008	0
446	0.008	0.008
447	0.009	0
448	0.016	0
449	0.008	0.008
450	0.008	0.008
451	0.008	0.008
452	0.008	0.008
453	0.008	0.008
454	0.016	0.008
455	0.008	0.008
456	0.007	0
457	0.008	0.008
458	0.008	0.008
459	0.008	0.008
460	0	0.008
461	0.008	0.008
462	0.008	0
463	0.016	0
464	0.008	0.008
465	0	0.008
466	0.008	0.008
467	0.008	0
468	0.008	0.008
469	0.008	0.008
470	0.008	0.008
471	0.008	0.008
472	0.008	0.008
473	0.008	0
474	0.008	0.008
475	0.008	0.008
476	0.008	0
477	0.008	0.008
478	0.008	0.008
479	0.008	0.008
480	0.008	0.008
481	0.016	0
482	0.008	0.008
483	0.016	0.008
484	0	0.008
485	0.008	0.008
486	0.008	0.008
487	0.008	0.008
488	0.008	0.008
489	0.008	0.008
490	0.008	0.008
491	0.008	0
492	0.016	0.008
493	0.008	0
494	0.008	0.008
495	0.008	0.009
496	0.008	0.008
497	0.008	0.008
498	0.008	0.008
499	0.008	0.008
500	0.008	0.008
501	0.008	0.008
502	0.008	0.008
503	0.016	0.008
504	0.008	0.008
505	0.008	0.008
506	0.008	0.008
507	0.007	0.008
508	0.008	0.008
509	0.008	0.008
510	0.008	0.008
511	0.008	0.008
512	0.008	0.008
513	0.008	0.008
514	0.008	0.008
515	0.016	0.008
516	0.008	0.008
517	0.008	0.008
518	0.008	0.008
519	0.016	0.008
520	0	0.008
521	0.008	0.008
522	0.016	0.008
523	0.008	0.008
524	0.008	0.008
525	0.016	0.008
526	0.016	0.008
527	0.016	0.008
528	0.008	0.008
529	0.016	0.008
530	0.009	0.008
531	0.016	0.008
532	0.008	0.008
533	0.008	0.008
534	0.008	0
535	0.016	0
536	0.008	0.008
537	0.008	0.008
538	0.008	0.008
539	0.008	0.008
540	0.008	0.008
541	0.008	0.008
542	0.008	0.008
543	0.009	0.008
544	0.008	0.007
545	0.007	0.009
546	0.015	0.009
547	0.009	0.007
548	0.017	0.007
549	0.007	0.009
550	0.008	0.008
551	0.008	0.008
552	0.016	0.009
553	0.01	0
554	0.008	0.008
555	0.008	0.008
556	0.008	0.008
557	0.008	0.008
558	0.016	0.008
559	0.008	0.008
560	0.016	0.008
561	0.008	0.008
562	0.016	0
563	0.016	0.008
564	0.008	0.008
565	0.008	0.008
566	0.008	0.008
567	0.008	0.008
568	0.008	0.008
569	0.016	0.008
570	0.016	0.008
571	0.008	0.016
572	0.008	0
573	0.008	0.008
574	0.008	0.008
575	0.016	0.008
576	0.008	0.008
577	0.008	0.008
578	0.008	0.008
579	0.008	0.008
580	0.016	0.008
581	0.008	0.008
582	0.008	0.008
583	0.04	0.008
584	0.008	0.008
585	0.008	0.008
586	0.016	0.008
587	0.016	0.008
588	0.008	0.008
589	0.008	0.008
590	0.008	0.016
591	0.008	0.008
592	0.008	0.008
593	0.008	0.008
594	0.008	0.016
595	0.016	0.008
596	0.008	0.008
597	0.008	0.008
598	0.008	0.008
599	0.008	0.008
600	0.016	0.015
601	0.017	0.012
602	0.016	0.008
603	0.008	0.016
604	0.016	0.008
605	0.016	0.008
606	0.016	0.008
607	0.016	0.008
608	0.016	0.008
609	0.008	0.016
610	0.016	0.008
611	0.016	0.008
612	0.008	0.016
613	0.008	0.016
614	0.008	0.016
615	0.016	0.008
616	0.016	0.008
617	0.016	0.008
618	0.016	0.008
619	0.008	0.016
620	0.016	0.008
621	0.008	0.016
622	0.016	0.008
623	0.016	0.008
624	0.016	0.008
625	0.016	0.008
626	0.016	0.008
627	0.016	0.008
628	0.008	0.016
629	0.008	0.008
630	0.016	0.008
631	0.008	0.008
632	0.008	0.008
633	0.008	0.008
634	0.008	0.008
635	0.016	0.008
636	0.016	0.008
637	0.017	0.007
638	0.008	0.008
639	0.016	0.008
640	0.016	0.008
641	0.008	0.008
642	0.016	0.008
643	0.016	0.008
644	0.008	0.009
645	0.008	0.016
646	0.016	0.008
647	0.008	0.008
648	0.008	0.008
649	0.008	0.008
650	0.016	0.008
651	0.008	0.008
652	0.016	0.008
653	0.016	0.008
654	0.008	0.016
655	0.008	0.008
656	0.016	0.008
657	0.016	0.008
658	0.016	0.008
659	0.016	0.008
660	0.016	0.008
661	0.016	0.008
662	0.016	0.008
663	0.008	0.008
664	0.008	0.008
665	0.008	0.008
666	0.016	0.008
667	0.017	0.007
668	0.008	0.016
669	0.008	0.008
670	0.016	0.008
671	0.008	0.016
672	0.016	0.008
673	0.016	0.008
674	0.016	0.016
675	0.016	0.008
676	0.008	0.016
677	0.017	0.008
678	0.016	0.007
679	0.015	0.009
680	0.008	0.008
681	0.018	0.015
682	0.016	0.008
683	0.016	0.008
684	0.016	0.008
685	0.008	0.016
686	0.017	0.008
687	0.008	0.008
688	0.016	0.008
689	0.016	0.008
690	0.008	0.008
691	0.016	0.008
692	0.016	0.008
693	0.016	0.008
694	0.016	0.008
695	0.008	0.016
696	0.016	0.008
697	0.016	0.008
698	0.008	0.008
699	0.008	0.008
700	0.016	0.008
701	0.008	0.016
702	0.016	0.008
703	0.008	0.016
704	0.016	0
705	0.008	0.016
706	0.016	0.008
707	0.016	0.008
708	0.017	0.008
709	0.017	0.007
710	0.008	0.008
711	0.016	0.008
712	0.008	0.016
713	0.008	0.016
714	0.016	0.008
715	0.016	0.016
716	0.016	0.008
717	0.016	0.006
718	0.016	0.008
719	0.008	0.01
720	0.016	0.008
721	0.016	0.008
722	0.008	0.016
723	0.016	0.008
724	0.017	0.007
725	0.016	0.008
726	0.016	0.008
727	0.016	0.008
728	0.016	0.008
729	0.016	0.008
730	0.008	0.008
731	0.008	0.008
732	0.016	0.008
733	0.016	0.009
734	0.016	0.008
735	0.017	0.016
736	0.016	0.009
737	0.016	0.016
738	0.016	0.008
739	0.016	0.016
740	0.016	0.008
741	0.016	0.008
742	0.016	0.016
743	0.008	0.016
744	0.016	0.008
745	0.013	0.011
746	0.015	0.016
747	0.016	0.008
748	0.017	0.015
749	0.016	0.008
750	0.016	0.016
751	0.016	0.008
752	0.017	0.007
753	0.016	0.008
754	0.016	0.016
755	0.016	0.016
756	0.016	0.008
757	0.016	0.008
758	0.016	0.016
759	0.016	0.011
760	0.016	0.008
761	0.016	0.008
762	0.016	0.016
763	0.016	0.016
764	0.016	0.008
765	0.016	0.016
766	0.016	0.008
767	0.016	0.013
768	0.008	0.008
769	0.016	0.008
770	0.024	0.008
771	0.016	0.008
772	0.016	0.008
773	0.017	0.015
774	0.016	0.008
775	0.024	0.016
776	0.016	0.008
777	0.016	0.008
778	0.016	0.016
779	0.016	0.008
780	0.008	0.016
781	0.008	0.016
782	0.008	0.016
783	0.024	0.008
784	0.016	0.016
785	0.024	0.008
786	0.008	0.008
787	0.016	0.008
788	0.016	0.016
789	0.016	0.008
790	0.016	0.016
791	0.008	0.016
792	0.016	0.008
793	0.016	0.008
794	0.008	0.008
795	0.008	0.016
796	0.016	0.008
797	0.016	0.008
798	0.016	0.008
799	0.024	0.008
800	0.016	0.016
801	0.016	0.008
802	0.016	0.008
803	0.008	0.009
804	0.008	0.017
805	0.015	0.016
806	0.023	0.008
807	0.016	0.008
808	0.016	0.008
809	0.016	0.008
810	0.016	0.008
811	0.016	0.008
812	0.008	0.016
813	0.024	0.016
814	0.024	0.008
815	0.008	0.008
816	0.024	0.008
817	0.016	0.008
818	0.016	0.008
819	0.016	0.008
820	0.016	0.009
821	0.04	0.008
822	0.024	0.008
823	0.008	0.008
824	0.016	0.016
825	0.016	0.009
826	0.008	0.016
827	0.016	0.016
828	0.024	0.008
829	0.016	0.016
830	0.016	0.016
831	0.008	0.016
832	0.024	0.008
833	0.024	0.008
834	0.016	0.016
835	0.016	0.016
836	0.016	0.008
837	0.016	0.016
838	0.008	0.008
839	0.024	0.008
840	0.024	0.016
841	0.016	0.016
842	0.016	0.016
843	0.016	0.008
844	0.016	0.008
845	0.016	0.016
846	0.016	0.016
847	0.024	0.008
848	0.016	0.008
849	0.016	0.016
850	0.016	0.008
851	0.024	0.008
852	0.017	0.016
853	0.016	0.016
854	0.016	0.016
855	0.016	0.016
856	0.016	0.008
857	0.016	0.016
858	0.008	0.016
859	0.016	0.016
860	0.017	0.007
861	0.016	0.008
862	0.017	0.007
863	0.024	0.008
864	0.017	0.016
865	0.016	0.008
866	0.023	0.008
867	0.016	0.016
868	0.008	0.016
869	0.016	0.016
870	0.024	0.008
871	0.016	0.016
872	0.016	0.008
873	0.016	0.008
874	0.016	0.016
875	0.024	0.009
876	0.016	0.008
877	0.016	0.016
878	0.017	0.008
879	0.024	0.008
880	0.024	0.008
881	0.016	0.016
882	0.016	0.008
883	0.016	0.008
884	0.016	0.008
885	0.016	0.016
886	0.016	0.016
887	0.016	0.016
888	0.017	0.016
889	0.016	0.016
890	0.016	0.008
891	0.024	0.017
892	0.024	0.016
893	0.016	0.016
894	0.016	0.016
895	0.016	0.008
896	0.016	0.008
897	0.016	0.008
898	0.016	0.016
899	0.016	0.016
900	0.016	0.016
901	0.016	0.016
902	0.016	0.016
903	0.016	0.016
904	0.016	0.008
905	0.016	0.017
906	0.016	0.016
907	0.016	0.016
908	0.016	0.016
909	0.016	0.016
910	0.016	0.016
911	0.016	0.016
912	0.016	0.016
913	0.016	0.016
914	0.008	0.016
915	0.016	0.016
916	0.016	0.017
917	0.016	0.016
918	0.016	0.016
919	0.016	0.016
920	0.016	0.016
921	0.016	0.016
922	0.016	0.016
923	0.016	0.016
924	0.016	0.016
925	0.016	0.016
926	0.024	0.016
927	0.024	0.008
928	0.024	0.008
929	0.016	0.016
930	0.016	0.016
931	0.016	0.016
932	0.016	0.016
933	0.016	0.016
934	0.008	0.009
935	0.016	0.016
936	0.024	0.008
937	0.016	0.016
938	0.024	0.008
939	0.016	0.016
940	0.016	0.016
941	0.016	0.008
942	0.024	0.008
943	0.024	0.008
944	0.016	0.008
945	0.016	0.016
946	0.024	0.008
947	0.024	0.008
948	0.031	0.016
949	0.016	0.016
950	0.024	0.016
951	0.016	0.008
952	0.024	0.016
953	0.016	0.016
954	0.016	0.016
955	0.016	0.018
956	0.016	0.016
957	0.016	0.016
958	0.016	0.008
959	0.024	0.016
960	0.016	0.016
961	0.016	0.016
962	0.016	0.016
963	0.016	0.016
964	0.024	0.008
965	0.016	0.016
966	0.017	0.016
967	0.016	0.016
968	0.016	0.008
969	0.024	0.016
970	0.017	0.016
971	0.016	0.016
972	0.024	0.016
973	0.016	0.016
974	0.025	0.008
975	0.008	0.016
976	0.016	0.016
977	0.024	0.008
978	0.024	0.008
979	0.016	0.016
980	0.016	0.016
981	0.016	0.016
982	0.017	0.016
983	0.016	0.016
984	0.016	0.016
985	0.016	0.016
986	0.025	0.016
987	0.016	0.016
988	0.016	0.016
989	0.025	0.008
990	0.016	0.008
991	0.023	0.017
992	0.024	0.016
993	0.023	0.008
994	0.024	0.008
995	0.016	0.008
996	0.024	0.008
997	0.016	0.008
998	0.016	0.016
999	0.024	0.016
1000	0.024	0.016
